,0,HEAT,COOL,LIGHTING,DISCOMFORT,T_m,T_a
0,2013-01-01 00:00:00,1.81991245563,0.0,0.0,0.0,19.5599242688,-2.1
1,2013-01-01 01:00:00,2.43855478036,0.0,0.0,0.0,19.1166639769,-2.7
2,2013-01-01 02:00:00,3.04984806542,0.0,0.0,0.0,18.6901954674,-2.3
3,2013-01-01 03:00:00,3.45921963268,0.0,0.0,0.0,18.2921321241,-1.3
4,2013-01-01 04:00:00,3.84607795509,0.0,0.0,0.0,17.9119518523,-0.8
5,2013-01-01 05:00:00,4.21278095638,0.0,0.0,0.0,17.5532811337,-0.1
6,2013-01-01 06:00:00,4.55699508937,0.0,0.0,0.0,17.2176829428,0.7
7,2013-01-01 07:00:00,4.92630446024,0.0,0.40131,1.0,16.8285305252,1.6
8,2013-01-01 08:00:00,5.31401034627,0.0,0.0,1.0,16.4419321959,3.9
9,2013-01-01 09:00:00,5.67084388975,0.0,0.0,1.0,16.1027774847,5.1
10,2013-01-01 10:00:00,5.98675190156,0.0,0.0,1.0,15.8006768794,6.0
11,2013-01-01 11:00:00,6.30729044918,0.0,0.0,1.0,15.469398808,6.3
12,2013-01-01 12:00:00,6.62256103517,0.0,0.0,1.0,15.1636195923,6.7
13,2013-01-01 13:00:00,6.92602477154,0.0,0.40131,1.0,14.8615287806,6.5
14,2013-01-01 14:00:00,7.19908658459,0.0,0.40131,1.0,14.6055157158,6.3
15,2013-01-01 15:00:00,7.46155288785,0.0,0.40131,1.0,14.3392165034,5.7
16,2013-01-01 16:00:00,7.75427163083,0.0,0.40131,1.0,14.0310028221,5.5
17,2013-01-01 17:00:00,8.08737142438,0.0,0.40131,1.0,13.6833695321,5.3
18,2013-01-01 18:00:00,8.3979512575,0.0,0.40131,1.0,13.3945376185,5.4
19,2013-01-01 19:00:00,8.60520920006,0.0,0.0,0.0,13.2353429584,5.4
20,2013-01-01 20:00:00,8.76116992169,0.0,0.0,0.0,13.0813096232,5.5
21,2013-01-01 21:00:00,8.91452908995,0.0,0.0,0.0,12.9283522499,5.4
22,2013-01-01 22:00:00,9.06682572088,0.0,0.0,0.0,12.776449413,5.3
23,2013-01-01 23:00:00,9.22057634701,0.0,0.0,0.0,12.6215975279,5.0
24,2013-01-02 00:00:00,9.37723922654,0.0,0.0,0.0,12.4638553186,4.7
25,2013-01-02 01:00:00,9.53925174227,0.0,0.0,0.0,12.2992977543,4.2
26,2013-01-02 02:00:00,9.70175614304,0.0,0.0,0.0,12.138017013,4.2
27,2013-01-02 03:00:00,9.86351997951,0.0,0.0,0.0,11.9759652579,4.0
28,2013-01-02 04:00:00,10.0272928971,0.0,0.0,0.0,11.8111665492,3.7
29,2013-01-02 05:00:00,10.2075030536,0.0,0.0,0.0,11.6217713649,2.3
30,2013-01-02 06:00:00,10.4032689887,0.0,0.0,0.0,11.4222085431,1.6
31,2013-01-02 07:00:00,10.6421747618,0.0,0.40131,1.0,11.1600222182,0.9
32,2013-01-02 08:00:00,10.9418371625,0.0,0.0,1.0,10.8382682026,0.4
33,2013-01-02 09:00:00,11.2294148418,0.0,0.0,1.0,10.5709896015,1.9
34,2013-01-02 10:00:00,11.4654150851,0.0,0.0,1.0,10.3535671786,3.3
35,2013-01-02 11:00:00,11.6811327953,0.0,0.0,1.0,10.1389991122,4.2
36,2013-01-02 12:00:00,11.8734922325,0.0,0.0,1.0,9.95980790962,5.0
37,2013-01-02 13:00:00,12.0487609865,0.0,0.0,1.0,9.78686490568,5.0
38,2013-01-02 14:00:00,12.2010612741,0.0,0.0,1.0,9.64671486013,5.1
39,2013-01-02 15:00:00,12.3554662011,0.0,0.0,1.0,9.48384322822,4.2
40,2013-01-02 16:00:00,12.5690312709,0.0,0.40131,1.0,9.24032435633,2.5
41,2013-01-02 17:00:00,12.8757818984,0.0,0.40131,1.0,8.89630151687,0.6
42,2013-01-02 18:00:00,13.1874913243,0.0,0.40131,1.0,8.60353179014,0.5
43,2013-01-02 19:00:00,13.4100518062,0.0,0.0,0.0,8.42225380781,-0.5
44,2013-01-02 20:00:00,13.5965541293,0.0,0.0,0.0,8.23263784367,-1.1
45,2013-01-02 21:00:00,13.7950334638,0.0,0.0,0.0,8.02887605265,-2.0
46,2013-01-02 22:00:00,14.0049867552,0.0,0.0,0.0,7.8152327054,-2.7
