,index,code1,Code_x,type,interval,th_mass,U_wall,U_win,Qs_Wp,Ea_Wm2,El_Wm2,Tcs_set_C,Ths_set_C,Tcs_setb_C,Ths_setb_C,Ve_lps,CoolingSetBackTemp,HeatingSetBackTemp,ACH,c_m_A_f,lighting_control,Occupancy,ActuationEnergy,glass_solar_transmitance,glass_light_transmitance,Lighting_Utilisation_Factor,Lighting_MaintenanceFactor,ACH_infl,ventilation_efficiency,phi_c_max_A_f,phi_h_max_A_f,heatingSystem,coolingSystem,heatingEfficiency,coolingEfficiency
0,4,MULTI_RES,MULTI_RES5,construction,2005-2020,T3,0.2,1.3,70,5.5,10.5,26,22,28,18,10.0,2,4,0.428571428571,260000,250,schedules_occ_MULTI_RES.csv,False,0.687,0.744,0.45,0.9,0.5,0.6,-inf,inf,DirectHeater,DirectCooler,1,1
1,10,MULTI_RES,MULTI_RES11,Renovation,2005-2020,T3,0.2,1.3,70,5.5,10.5,26,22,28,18,10.0,2,4,0.428571428571,260000,250,schedules_occ_MULTI_RES.csv,False,0.687,0.744,0.45,0.9,0.5,0.6,-inf,inf,DirectHeater,DirectCooler,1,1
2,16,SINGLE_RES,SINGLE_RES5,construction,2005-2020,T3,0.2,1.3,70,5.5,10.52,26,22,28,18,10.0,2,4,0.428571428571,260000,200,schedules_occ_SINGLE_RES.csv,False,0.687,0.744,0.45,0.9,0.5,0.6,-inf,inf,DirectHeater,DirectCooler,1,1
3,22,SINGLE_RES,SINGLE_RES11,Renovation,2005-2020,T3,0.2,1.3,70,5.5,10.52,26,22,28,18,10.0,2,4,0.428571428571,260000,200,schedules_occ_SINGLE_RES.csv,False,0.687,0.744,0.45,0.9,0.5,0.6,-inf,inf,DirectHeater,DirectCooler,1,1
4,28,HOTEL,HOTEL5,construction,2005-2020,T3,0.2,1.3,70,4.3,3.1,26,21,28,21,10.0,2,0,0.428571428571,260000,300,schedules_occ_HOTEL.csv,False,0.687,0.744,0.45,0.9,0.5,0.6,-inf,inf,DirectHeater,DirectCooler,1,1
5,34,HOTEL,HOTEL11,Renovation,2005-2020,T3,0.2,1.3,70,4.3,3.1,26,21,28,21,10.0,2,0,0.428571428571,260000,300,schedules_occ_HOTEL.csv,False,0.687,0.744,0.45,0.9,0.5,0.6,-inf,inf,DirectHeater,DirectCooler,1,1
6,40,OFFICE,OFFICE5,construction,2005-2020,T3,0.2,1.3,70,7.0,15.9,24,22,28,12,10.0,4,10,0.428571428571,260000,350,schedules_occ_OFFICE.csv,False,0.687,0.744,0.45,0.9,0.5,0.6,-inf,inf,DirectHeater,DirectCooler,1,1
7,46,OFFICE,OFFICE11,Renovation,2005-2020,T3,0.2,1.3,70,7.0,15.9,24,22,28,12,10.0,4,10,0.428571428571,260000,350,schedules_occ_OFFICE.csv,False,0.687,0.744,0.45,0.9,0.5,0.6,-inf,inf,DirectHeater,DirectCooler,1,1
8,52,RETAIL,RETAIL5,construction,2005-2020,T3,0.2,1.3,70,2.0,33.3,26,20,28,12,8.0,2,8,0.342857142857,260000,400,schedules_occ_RETAIL.csv,False,0.687,0.744,0.45,0.9,0.5,0.6,-inf,inf,DirectHeater,DirectCooler,1,1
9,58,RETAIL,RETAIL11,Renovation,2005-2020,T3,0.2,1.3,70,2.0,33.3,26,20,28,12,8.0,2,8,0.342857142857,260000,400,schedules_occ_RETAIL.csv,False,0.687,0.744,0.45,0.9,0.5,0.6,-inf,inf,DirectHeater,DirectCooler,1,1
10,64,FOODSTORE,FOODSTORE5,construction,2005-2020,T3,0.2,1.3,70,5.0,9.3,22,22,28,12,10.0,6,10,0.428571428571,260000,400,schedules_occ_FOODSTORE.csv,False,0.687,0.744,0.45,0.9,0.5,0.6,-inf,inf,DirectHeater,DirectCooler,1,1
11,70,FOODSTORE,FOODSTORE11,Renovation,2005-2020,T3,0.2,1.3,70,5.0,9.3,22,22,28,12,10.0,6,10,0.428571428571,260000,400,schedules_occ_FOODSTORE.csv,False,0.687,0.744,0.45,0.9,0.5,0.6,-inf,inf,DirectHeater,DirectCooler,1,1
12,76,RESTAURANT,RESTAURANT5,construction,2005-2020,T3,0.2,1.3,73,31.7,8.25,27,21,28,12,25.15,1,9,1.07785714286,260000,250,schedules_occ_RESTAURANT.csv,False,0.687,0.744,0.45,0.9,0.5,0.6,-inf,inf,DirectHeater,DirectCooler,1,1
13,82,RESTAURANT,RESTAURANT11,Renovation,2005-2020,T3,0.2,1.3,73,31.7,8.25,27,21,28,12,25.15,1,9,1.07785714286,260000,250,schedules_occ_RESTAURANT.csv,False,0.687,0.744,0.45,0.9,0.5,0.6,-inf,inf,DirectHeater,DirectCooler,1,1
14,88,INDUSTRIAL,INDUSTRIAL5,construction,2005-2020,T3,0.2,1.3,90,20.0,14.7,24,21,28,12,31.0,4,9,1.32857142857,260000,300,schedules_occ_INDUSTRIAL.csv,False,0.687,0.744,0.45,0.9,0.5,0.6,-inf,inf,DirectHeater,DirectCooler,1,1
15,94,INDUSTRIAL,INDUSTRIAL11,Renovation,2005-2020,T3,0.2,1.3,90,20.0,14.7,24,21,28,12,31.0,4,9,1.32857142857,260000,300,schedules_occ_INDUSTRIAL.csv,False,0.687,0.744,0.45,0.9,0.5,0.6,-inf,inf,DirectHeater,DirectCooler,1,1
16,100,SCHOOL,SCHOOL5,construction,2005-2020,T3,0.2,1.3,70,4.0,14.0,26,21,28,12,8.0,2,9,0.342857142857,260000,350,schedules_occ_SCHOOL.csv,False,0.687,0.744,0.45,0.9,0.5,0.6,-inf,inf,DirectHeater,DirectCooler,1,1
